0	2	0
1	2	1
2	0	7638
2	1	7716
3	0	7638
3	1	7336
4	2	4
5	2	5
6	2	6
7	2	7
8	2	8
9	0	7163
9	1	7716
10	2	10
11	2	11
12	2	12
13	2	13
14	2	14
15	2	15
16	0	7638
16	1	7199
17	0	7638
17	1	7674
18	2	18
19	0	7602
19	1	7674
20	2	20
21	0	7593
21	1	7321
22	2	22
23	2	23
24	2	24
25	2	25
26	2	26
27	2	27
28	2	28
29	2	29
30	2	30
31	0	7638
31	1	18
32	0	7602
32	1	7199
33	2	33
34	2	34
35	2	35
36	0	7163
36	1	7199
37	2	37
38	0	7157
38	1	7467
39	0	7157
39	1	7321
40	2	40
41	2	41
42	2	42
43	2	43
44	0	7137
44	1	7336
45	0	7602
45	1	20
46	2	46
47	0	7410
47	1	7336
48	0	7188
48	1	7716
49	2	49
50	2	50
51	2	51
52	0	7410
52	1	7716
53	2	53
54	2	54
55	0	7638
55	1	7215
56	0	7626
56	1	7336
57	2	57
58	2	58
59	2	59
60	0	7638
60	1	7
61	0	7163
61	1	7132
62	2	62
63	2	63
64	0	7602
64	1	7238
65	0	7351
65	1	18
66	2	66
67	2	67
68	0	7602
68	1	7307
69	2	69
70	2	70
71	2	71
72	2	72
73	2	73
74	0	7602
74	1	29
75	2	75
76	0	7405
76	1	7716
77	2	77
78	0	7638
78	1	7220
79	0	7410
79	1	7307
80	2	80
81	0	7437
81	1	29
82	0	7351
82	1	7517
83	0	7282
83	1	15
84	2	84
85	0	7526
85	1	7307
86	0	7351
86	1	20
87	0	7255
87	1	8
88	2	88
89	0	7163
89	1	7380
90	0	7620
90	1	7716
91	0	7526
91	1	7672
92	0	7638
92	1	7530
93	0	7602
93	1	7530
94	2	94
95	2	95
96	2	96
97	2	97
98	2	98
99	0	7638
99	1	7465
100	0	7526
100	1	18
101	0	7602
101	1	7672
102	0	7346
102	1	7336
103	0	7410
103	1	7238
104	2	104
105	0	7345
105	1	7406
106	0	7137
106	1	7716
107	0	7638
107	1	37
108	0	7309
108	1	20
109	0	7410
109	1	0
110	0	7433
110	1	7199
111	2	111
112	0	7163
112	1	7321
113	2	113
114	2	114
115	2	115
116	2	116
117	0	7446
117	1	7380
118	2	118
119	0	7621
119	1	7674
120	2	120
121	0	7638
121	1	30
